method,cell,content,style,hit
ccstytr,000000085682__Pop_Art__peter-max_composition-red-green-1979,000000085682,Pop_Art__peter-max_composition-red-green-1979,0
ccstytr,000000085682__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,000000085682,Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,1
ccstytr,000000085682__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),000000085682,Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),1
ccstytr,000000085682__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,000000085682,Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,0
ccstytr,000000085682__Romanticism__gustave-dore_paradise-lost-4,000000085682,Romanticism__gustave-dore_paradise-lost-4,0
ccstytr,000000085682__Symbolism__nicholas-roerich_language-of-forest-1922,000000085682,Symbolism__nicholas-roerich_language-of-forest-1922,0
ccstytr,000000085682__Ukiyo_e__kitagawa-utamaro_not_detected_233134,000000085682,Ukiyo_e__kitagawa-utamaro_not_detected_233134,0
ccstytr,000000094157__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000094157,Abstract_Expressionism__paul-jenkins_not_detected_235703,0
ccstytr,000000094157__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000094157,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0
ccstytr,000000094157__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000094157,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0
ccstytr,000000094157__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000094157,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,0
ccstytr,000000094157__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,000000094157,Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,0
ccstytr,000000094157__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,000000094157,Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,0
ccstytr,000000094157__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,000000094157,Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,0
ccstytr,000000094157__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,000000094157,High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,0
ccstytr,000000094157__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,000000094157,Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,1
ccstytr,000000094157__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,000000094157,Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,0
ccstytr,000000094157__Minimalism__mario-schifano_untitled-1963,000000094157,Minimalism__mario-schifano_untitled-1963,0
ccstytr,000000094157__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,000000094157,Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,0
ccstytr,000000094157__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,000000094157,Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,1
ccstytr,000000094157__Pop_Art__peter-max_composition-red-green-1979,000000094157,Pop_Art__peter-max_composition-red-green-1979,0
ccstytr,000000094157__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,000000094157,Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,0
ccstytr,000000094157__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),000000094157,Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),0
ccstytr,000000094157__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,000000094157,Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,0
ccstytr,000000094157__Romanticism__gustave-dore_paradise-lost-4,000000094157,Romanticism__gustave-dore_paradise-lost-4,1
ccstytr,000000094157__Symbolism__nicholas-roerich_language-of-forest-1922,000000094157,Symbolism__nicholas-roerich_language-of-forest-1922,0
ccstytr,000000094157__Ukiyo_e__kitagawa-utamaro_not_detected_233134,000000094157,Ukiyo_e__kitagawa-utamaro_not_detected_233134,0
ccstytr,000000098633__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000098633,Abstract_Expressionism__paul-jenkins_not_detected_235703,1
ccstytr,000000098633__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000098633,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0
ccstytr,000000098633__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000098633,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0
ccstytr,000000098633__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000098633,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,0
