method,output,cell,content,style,ssim,lpips,e_ssim,l_c,l_s
stytr2,000000572517__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,000000572517__Symbolism__nicholas-roerich_language-of-forest-1922,000000572517,Symbolism__nicholas-roerich_language-of-forest-1922,0.606758713722229,0.5453522801399231,0.5048396434634576,2.2368454933166504,1.4361473321914673
stytr2,000000572517__Ukiyo_e__kitagawa-utamaro_not_detected_233134.jpg,000000572517__Ukiyo_e__kitagawa-utamaro_not_detected_233134,000000572517,Ukiyo_e__kitagawa-utamaro_not_detected_233134,0.43645453453063965,0.554330587387085,0.3741574042187994,2.31640887260437,2.106142520904541
adain,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000001818,Abstract_Expressionism__paul-jenkins_not_detected_235703,0.23005245625972748,0.5695269107818604,0.235618202450477,2.6152186393737793,1.1552737951278687
adain,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000001818,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0.17312252521514893,0.5903201103210449,0.22671155310058494,2.631769895553589,1.2382965087890625
adain,000000001818__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,000000001818__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000001818,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0.12649841606616974,0.6887890100479126,0.18047312645572103,3.0084762573242188,0.8197372555732727
adain,000000001818__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,000000001818__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000001818,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,0.07920345664024353,0.8741458058357239,0.13308824326526736,3.661644458770752,0.5008229613304138
adain,000000001818__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,000000001818__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,000000001818,Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,0.1776961088180542,0.7809224128723145,0.21061364472298738,2.589716911315918,0.5744558572769165
adain,000000001818__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,000000001818__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,000000001818,Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,0.24183563888072968,0.553948700428009,0.26942025459487523,2.373628616333008,1.5401029586791992
adain,000000001818__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,000000001818__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,000000001818,Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,0.18862903118133545,0.6767804026603699,0.2248402334885423,2.415499210357666,0.8404930830001831
adain,000000001818__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,000000001818__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,000000001818,High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,0.24315296113491058,0.5767902135848999,0.2737427765413076,2.592484712600708,3.1558473110198975
adain,000000001818__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,000000001818__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,000000001818,Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,0.15923839807510376,0.6736478805541992,0.1805831767010148,2.812194347381592,0.9116447567939758
adain,000000001818__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,000000001818__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,000000001818,Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,0.2189731001853943,0.543464183807373,0.2331102637760922,2.4505224227905273,1.6004323959350586
adain,000000001818__Minimalism__mario-schifano_untitled-1963.jpg,000000001818__Minimalism__mario-schifano_untitled-1963,000000001818,Minimalism__mario-schifano_untitled-1963,0.09636205434799194,1.1344354152679443,0.12075384568446222,3.532460927963257,1.344607949256897
adain,000000001818__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,000000001818__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,000000001818,Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,0.12766583263874054,0.5472503304481506,0.12406217863983657,2.5690975189208984,0.7005952000617981
adain,000000001818__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,000000001818__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,000000001818,Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,0.22172720730304718,0.48689407110214233,0.21938189914251274,2.298523426055908,2.5954642295837402
adain,000000001818__Pop_Art__peter-max_composition-red-green-1979.jpg,000000001818__Pop_Art__peter-max_composition-red-green-1979,000000001818,Pop_Art__peter-max_composition-red-green-1979,0.1310737133026123,0.6641981601715088,0.16010774752656376,2.929457664489746,2.3588478565216064
adain,000000001818__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,000000001818__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,000000001818,Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,0.15745992958545685,0.6135179996490479,0.15328800201264953,2.6218795776367188,1.8301959037780762
adain,000000001818__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).jpg,000000001818__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),000000001818,Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),0.22770769894123077,0.5375858545303345,0.25051933680454613,2.2379672527313232,0.6323862075805664
adain,000000001818__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.jpg,000000001818__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,000000001818,Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,0.14356742799282074,0.6787739992141724,0.20040176561097295,2.6988587379455566,0.5517575740814209
