method,pair,round,lpips
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,7,0.5509
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,8,0.5691
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,9,0.5863
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,10,0.6017
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,11,0.6152
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,12,0.6268
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,13,0.6369
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,14,0.646
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,15,0.6538
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,16,0.6607
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,17,0.6671
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,18,0.673
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,19,0.6784
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,20,0.6835
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,1,0.3598
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,2,0.3851
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,3,0.4081
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,4,0.4361
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,5,0.4676
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,6,0.4989
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,7,0.5288
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,8,0.5559
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,9,0.5792
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,10,0.5996
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,11,0.6174
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,12,0.6331
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,13,0.647
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,14,0.6594
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,15,0.6696
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,16,0.678
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,17,0.6858
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,18,0.6924
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,19,0.698
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,20,0.7034
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,1,0.3568
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,2,0.3704
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,3,0.4052
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,4,0.4435
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,5,0.482
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,6,0.5181
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,7,0.5496
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,8,0.5774
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,9,0.6003
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,10,0.6196
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,11,0.6362
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,12,0.6498
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,13,0.6625
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,14,0.6732
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,15,0.6834
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,16,0.6926
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,17,0.7013
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,18,0.7088
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,19,0.7152
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,20,0.7206
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,1,0.3829
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,2,0.3956
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,3,0.4267
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,4,0.4616
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,5,0.4957
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,6,0.5274
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,7,0.5549
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,8,0.5798
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,9,0.6015
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,10,0.6207
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,11,0.6371
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,12,0.6509
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,13,0.6627
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,14,0.6728
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,15,0.6818
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,16,0.6891
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,17,0.6963
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,18,0.7027
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,19,0.7085
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,20,0.7139
