method,content,style,ocr_sim,n_gt
sanet,163,western_painting__met_739494,0.3143,10
cast,163,western_painting__met_739494,0.3293,10
stytr2,163,western_painting__met_787672,0.1893,10
adain,163,western_painting__met_787672,0.0,10
sanet,163,western_painting__met_787672,0.2271,10
cast,163,western_painting__met_787672,0.25,10
stytr2,163,western_painting__met_788182,0.2643,10
adain,163,western_painting__met_788182,0.0,10
sanet,163,western_painting__met_788182,0.0,10
cast,163,western_painting__met_788182,0.2893,10
stytr2,324,chinese_landscape__130942,0.5198,11
adain,324,chinese_landscape__130942,0.256,11
sanet,324,chinese_landscape__130942,0.2719,11
cast,324,chinese_landscape__130942,0.3401,11
stytr2,324,chinese_landscape__132834,0.5385,11
adain,324,chinese_landscape__132834,0.0649,11
sanet,324,chinese_landscape__132834,0.0909,11
cast,324,chinese_landscape__132834,0.3488,11
stytr2,324,chinese_landscape__132836,0.4797,11
adain,324,chinese_landscape__132836,0.2151,11
sanet,324,chinese_landscape__132836,0.3052,11
cast,324,chinese_landscape__132836,0.4215,11
stytr2,324,chinese_landscape__132840,0.444,11
adain,324,chinese_landscape__132840,0.026,11
sanet,324,chinese_landscape__132840,0.2598,11
cast,324,chinese_landscape__132840,0.3905,11
stytr2,324,chinese_landscape__132930,0.5617,11
adain,324,chinese_landscape__132930,0.0,11
sanet,324,chinese_landscape__132930,0.2719,11
cast,324,chinese_landscape__132930,0.3326,11
stytr2,324,chinese_landscape__137205,0.2719,11
adain,324,chinese_landscape__137205,0.131,11
sanet,324,chinese_landscape__137205,0.0808,11
cast,324,chinese_landscape__137205,0.4132,11
stytr2,324,chinese_landscape__142574,0.4895,11
adain,324,chinese_landscape__142574,0.0,11
sanet,324,chinese_landscape__142574,0.0909,11
cast,324,chinese_landscape__142574,0.4034,11
stytr2,324,chinese_landscape__142578,0.4257,11
adain,324,chinese_landscape__142578,0.2264,11
sanet,324,chinese_landscape__142578,0.2901,11
cast,324,chinese_landscape__142578,0.3605,11
stytr2,324,chinese_landscape__144829,0.3902,11
adain,324,chinese_landscape__144829,0.1446,11
sanet,324,chinese_landscape__144829,0.2901,11
cast,324,chinese_landscape__144829,0.3921,11
stytr2,324,chinese_landscape__148342,0.3436,11
adain,324,chinese_landscape__148342,0.0,11
sanet,324,chinese_landscape__148342,0.2901,11
cast,324,chinese_landscape__148342,0.2576,11
stytr2,324,mural__img_1082crop_1_0,0.2749,11
adain,324,mural__img_1082crop_1_0,0.2196,11
sanet,324,mural__img_1082crop_1_0,0.2719,11
cast,324,mural__img_1082crop_1_0,0.4332,11
stytr2,324,mural__img_1224crop_0_0,0.2749,11
adain,324,mural__img_1224crop_0_0,0.0,11
sanet,324,mural__img_1224crop_0_0,0.2719,11
cast,324,mural__img_1224crop_0_0,0.4026,11
stytr2,324,mural__img_1224crop_1_1,0.2598,11
adain,324,mural__img_1224crop_1_1,0.0,11
sanet,324,mural__img_1224crop_1_1,0.28,11
cast,324,mural__img_1224crop_1_1,0.423,11
stytr2,324,mural__img_16crop_0_0,0.2749,11
adain,324,mural__img_16crop_0_0,0.0,11
sanet,324,mural__img_16crop_0_0,0.0808,11
cast,324,mural__img_16crop_0_0,0.328,11
stytr2,324,mural__img_276crop_1_0,0.2749,11
adain,324,mural__img_276crop_1_0,0.0,11
sanet,324,mural__img_276crop_1_0,0.2719,11
cast,324,mural__img_276crop_1_0,0.2398,11
stytr2,324,mural__img_326crop_1_1,0.2749,11
adain,324,mural__img_326crop_1_1,0.0,11
sanet,324,mural__img_326crop_1_1,0.0909,11
cast,324,mural__img_326crop_1_1,0.2749,11
stytr2,324,mural__img_327crop_0_1,0.3261,11
adain,324,mural__img_327crop_0_1,0.0519,11
sanet,324,mural__img_327crop_0_1,0.2497,11
cast,324,mural__img_327crop_0_1,0.4539,11
stytr2,324,mural__img_536crop_1_0,0.3325,11
adain,324,mural__img_536crop_1_0,0.1537,11
sanet,324,mural__img_536crop_1_0,0.2749,11
cast,324,mural__img_536crop_1_0,0.4129,11
stytr2,324,mural__img_593crop_0_0,0.2749,11
adain,324,mural__img_593crop_0_0,0.0,11
sanet,324,mural__img_593crop_0_0,0.2618,11
cast,324,mural__img_593crop_0_0,0.3512,11
stytr2,324,mural__img_739crop_1_1,0.2749,11
adain,324,mural__img_739crop_1_1,0.0,11
sanet,324,mural__img_739crop_1_1,0.2749,11
cast,324,mural__img_739crop_1_1,0.5277,11
stytr2,324,western_painting__met_359775,0.2749,11
adain,324,western_painting__met_359775,0.0,11
sanet,324,western_painting__met_359775,0.2618,11
cast,324,western_painting__met_359775,0.2939,11
stytr2,324,western_painting__met_383787,0.1412,11
adain,324,western_painting__met_383787,0.0992,11
sanet,324,western_painting__met_383787,0.2605,11
cast,324,western_painting__met_383787,0.2972,11
stytr2,324,western_painting__met_406721,0.3196,11
adain,324,western_painting__met_406721,0.0,11
sanet,324,western_painting__met_406721,0.1511,11
cast,324,western_painting__met_406721,0.2511,11
stytr2,324,western_painting__met_437769,0.3507,11
adain,324,western_painting__met_437769,0.1537,11
sanet,324,western_painting__met_437769,0.2256,11
cast,324,western_painting__met_437769,0.3918,11
