method,output,ssim,lpips,e_ssim,l_c,l_s
adain,1337__mural__img_593crop_0_0.jpg,0.2534,0.5638,0.178,2.3905,1.0325
adain,1337__mural__img_739crop_1_1.jpg,0.1959,0.5792,0.2543,2.4949,1.5145
adain,1337__western_painting__met_359775.jpg,0.3821,0.5056,0.3192,2.3216,1.5476
adain,1337__western_painting__met_383787.jpg,0.4456,0.5292,0.4409,2.5813,0.9864
adain,1337__western_painting__met_406721.jpg,0.3449,0.5695,0.2868,2.3949,0.954
adain,1337__western_painting__met_437769.jpg,0.2291,0.5523,0.3963,2.5448,1.2343
adain,1337__western_painting__met_437967.jpg,0.3187,0.5327,0.3444,2.433,1.2259
adain,1337__western_painting__met_439405.jpg,0.343,0.5481,0.3572,2.538,1.5797
adain,1337__western_painting__met_649693.jpg,0.3023,0.5591,0.266,2.6339,1.8331
adain,1337__western_painting__met_739494.jpg,0.3579,0.5135,0.298,2.4815,1.7501
adain,1337__western_painting__met_787672.jpg,0.3217,0.5063,0.2586,2.2567,1.6126
adain,1337__western_painting__met_788182.jpg,0.3774,0.5182,0.3481,2.4755,1.0989
adain,1344__chinese_landscape__130942.jpg,0.4975,0.581,0.3255,2.4076,0.6997
adain,1344__chinese_landscape__132834.jpg,0.5359,0.5575,0.3895,2.2717,1.0543
adain,1344__chinese_landscape__132836.jpg,0.5368,0.5633,0.3892,2.3188,1.0962
adain,1344__chinese_landscape__132840.jpg,0.6074,0.5424,0.5315,2.2754,1.1006
adain,1344__chinese_landscape__132930.jpg,0.6031,0.5596,0.4711,2.3679,0.6265
adain,1344__chinese_landscape__137205.jpg,0.3826,0.6479,0.2002,2.5919,1.6368
adain,1344__chinese_landscape__142574.jpg,0.5916,0.5822,0.4399,2.3226,0.7547
adain,1344__chinese_landscape__142578.jpg,0.4536,0.5922,0.2354,2.4034,1.0557
adain,1344__chinese_landscape__144829.jpg,0.4871,0.6002,0.2849,2.3834,1.0082
adain,1344__chinese_landscape__148342.jpg,0.4149,0.603,0.1977,2.5026,0.8569
adain,1344__mural__img_1082crop_1_0.jpg,0.1827,0.6638,0.077,2.5955,3.0426
adain,1344__mural__img_1224crop_0_0.jpg,0.0874,0.7326,0.0444,2.8869,5.238
adain,1344__mural__img_1224crop_1_1.jpg,0.0862,0.7158,0.0386,2.8102,6.2337
adain,1344__mural__img_16crop_0_0.jpg,0.2162,0.7438,0.0829,3.0393,1.8686
adain,1344__mural__img_276crop_1_0.jpg,0.1247,0.7424,0.0517,2.7735,1.6824
adain,1344__mural__img_326crop_1_1.jpg,0.2498,0.7184,0.0962,2.7807,1.0569
adain,1344__mural__img_327crop_0_1.jpg,0.2617,0.6641,0.1243,2.5473,1.9375
adain,1344__mural__img_536crop_1_0.jpg,0.2546,0.6828,0.1193,2.5902,1.6294
adain,1344__mural__img_593crop_0_0.jpg,0.1848,0.6846,0.0716,2.746,1.2654
adain,1344__mural__img_739crop_1_1.jpg,0.1713,0.6711,0.147,2.7284,1.5831
adain,1344__western_painting__met_359775.jpg,0.4536,0.6078,0.2912,2.346,1.4243
adain,1344__western_painting__met_383787.jpg,0.6013,0.5528,0.5172,2.2677,0.9692
adain,1344__western_painting__met_406721.jpg,0.367,0.6289,0.1521,2.3116,1.0757
adain,1344__western_painting__met_437769.jpg,0.2046,0.6666,0.3252,2.6151,1.4014
adain,1344__western_painting__met_437967.jpg,0.2756,0.6473,0.1901,2.6076,1.3878
adain,1344__western_painting__met_439405.jpg,0.3229,0.628,0.3109,2.6194,1.7447
adain,1344__western_painting__met_649693.jpg,0.4556,0.5625,0.3508,2.4338,1.6859
adain,1344__western_painting__met_739494.jpg,0.4671,0.5834,0.3221,2.5651,1.8182
adain,1344__western_painting__met_787672.jpg,0.3828,0.5526,0.2019,2.2171,1.5527
adain,1344__western_painting__met_788182.jpg,0.4755,0.5644,0.2623,2.3367,1.1449
adain,1535__chinese_landscape__130942.jpg,0.3955,0.6824,0.2482,2.5954,0.6598
adain,1535__chinese_landscape__132834.jpg,0.4001,0.6908,0.253,2.5708,1.0258
adain,1535__chinese_landscape__132836.jpg,0.3951,0.6938,0.2567,2.5871,1.1009
adain,1535__chinese_landscape__132840.jpg,0.4687,0.6725,0.3807,2.5492,1.1172
adain,1535__chinese_landscape__132930.jpg,0.4642,0.7142,0.2953,2.7705,0.5642
adain,1535__chinese_landscape__137205.jpg,0.2987,0.7439,0.1459,2.7601,1.5637
adain,1535__chinese_landscape__142574.jpg,0.4524,0.7331,0.2728,2.7463,0.6985
adain,1535__chinese_landscape__142578.jpg,0.3634,0.7159,0.171,2.6603,0.9395
adain,1535__chinese_landscape__144829.jpg,0.3864,0.7213,0.188,2.6215,1.025
adain,1535__chinese_landscape__148342.jpg,0.3276,0.7241,0.134,2.7403,0.791
adain,1535__mural__img_1082crop_1_0.jpg,0.2062,0.7006,0.1053,2.5751,3.1774
adain,1535__mural__img_1224crop_0_0.jpg,0.113,0.7478,0.0664,2.7728,5.2168
adain,1535__mural__img_1224crop_1_1.jpg,0.1096,0.7504,0.0598,2.8074,6.2158
adain,1535__mural__img_16crop_0_0.jpg,0.2477,0.7408,0.0828,2.9494,1.7575
adain,1535__mural__img_276crop_1_0.jpg,0.1279,0.8211,0.0436,3.0836,1.7841
adain,1535__mural__img_326crop_1_1.jpg,0.2532,0.7665,0.0897,2.9318,1.0546
adain,1535__mural__img_327crop_0_1.jpg,0.2877,0.6858,0.1324,2.5892,1.8342
adain,1535__mural__img_536crop_1_0.jpg,0.2844,0.6841,0.1412,2.6121,1.5339
adain,1535__mural__img_593crop_0_0.jpg,0.2199,0.6748,0.0946,2.7251,1.2149
adain,1535__mural__img_739crop_1_1.jpg,0.2278,0.6612,0.166,2.6724,1.551
adain,1535__western_painting__met_359775.jpg,0.341,0.6922,0.1956,2.57,1.2919
adain,1535__western_painting__met_383787.jpg,0.4557,0.6537,0.3346,2.485,0.9771
adain,1535__western_painting__met_406721.jpg,0.289,0.7313,0.1209,2.6149,0.9408
adain,1535__western_painting__met_437769.jpg,0.2536,0.6668,0.2817,2.62,1.3118
adain,1535__western_painting__met_437967.jpg,0.3151,0.6981,0.1901,2.6472,1.3555
adain,1535__western_painting__met_439405.jpg,0.3577,0.6763,0.2822,2.6893,1.6132
adain,1535__western_painting__met_649693.jpg,0.3408,0.6492,0.2659,2.4305,1.6823
adain,1535__western_painting__met_739494.jpg,0.3476,0.6683,0.1954,2.5412,1.5768
adain,1535__western_painting__met_787672.jpg,0.2883,0.6606,0.1498,2.4638,1.5939
adain,1535__western_painting__met_788182.jpg,0.3656,0.6745,0.185,2.4822,1.0773
adain,1582__chinese_landscape__130942.jpg,0.3763,0.7473,0.3678,2.666,0.6738
adain,1582__chinese_landscape__132834.jpg,0.3859,0.7501,0.381,2.7311,1.2293
adain,1582__chinese_landscape__132836.jpg,0.3736,0.7485,0.3582,2.7501,1.3293
adain,1582__chinese_landscape__132840.jpg,0.4195,0.7322,0.5178,2.6493,1.2799
adain,1582__chinese_landscape__132930.jpg,0.4268,0.76,0.4523,2.8039,0.6909
adain,1582__chinese_landscape__137205.jpg,0.2822,0.807,0.1932,2.8816,1.7519
adain,1582__chinese_landscape__142574.jpg,0.4225,0.7719,0.4392,2.8032,0.8129
adain,1582__chinese_landscape__142578.jpg,0.3229,0.7801,0.1988,2.8443,1.0434
adain,1582__chinese_landscape__144829.jpg,0.3653,0.7812,0.2684,2.7337,1.1015
adain,1582__chinese_landscape__148342.jpg,0.3164,0.7849,0.1878,2.8638,0.7897
adain,1582__mural__img_1082crop_1_0.jpg,0.189,0.7826,0.1076,2.8397,4.0646
adain,1582__mural__img_1224crop_0_0.jpg,0.1125,0.8294,0.0701,2.9853,6.6196
adain,1582__mural__img_1224crop_1_1.jpg,0.1194,0.821,0.0642,2.9832,7.9302
adain,1582__mural__img_16crop_0_0.jpg,0.2408,0.824,0.1571,3.1449,2.0156
adain,1582__mural__img_276crop_1_0.jpg,0.1545,0.7943,0.0763,3.0039,2.1141
adain,1582__mural__img_326crop_1_1.jpg,0.245,0.8481,0.1655,2.9985,1.2197
adain,1582__mural__img_327crop_0_1.jpg,0.259,0.788,0.1755,2.8156,2.6111
adain,1582__mural__img_536crop_1_0.jpg,0.259,0.7977,0.2076,2.7606,2.3005
adain,1582__mural__img_593crop_0_0.jpg,0.2064,0.8056,0.1236,2.8838,1.4978
adain,1582__mural__img_739crop_1_1.jpg,0.1967,0.7483,0.2947,2.7725,1.9659
adain,1582__western_painting__met_359775.jpg,0.3227,0.7919,0.3003,2.762,1.4797
adain,1582__western_painting__met_383787.jpg,0.4087,0.7287,0.5075,2.5737,1.2534
adain,1582__western_painting__met_406721.jpg,0.2884,0.8044,0.1884,2.7263,1.1169
adain,1582__western_painting__met_437769.jpg,0.2149,0.7589,0.4715,2.7075,1.4788
adain,1582__western_painting__met_437967.jpg,0.2899,0.7649,0.3738,2.753,1.5847
adain,1582__western_painting__met_439405.jpg,0.3316,0.6952,0.4944,2.6638,1.5374
adain,1582__western_painting__met_649693.jpg,0.34,0.7165,0.4029,2.5745,1.7654
adain,1582__western_painting__met_739494.jpg,0.3351,0.755,0.2803,2.7386,1.8295
adain,1582__western_painting__met_787672.jpg,0.2825,0.7487,0.1898,2.6423,2.0493
adain,1582__western_painting__met_788182.jpg,0.3574,0.7378,0.3343,2.6386,1.3038
adain,1600__chinese_landscape__130942.jpg,0.3518,0.5292,0.3895,2.6269,0.6704
adain,1600__chinese_landscape__132834.jpg,0.3185,0.552,0.3993,2.6655,1.1863
adain,1600__chinese_landscape__132836.jpg,0.3175,0.5585,0.3943,2.7502,1.2882
adain,1600__chinese_landscape__132840.jpg,0.3225,0.565,0.4453,2.7904,1.2357
adain,1600__chinese_landscape__132930.jpg,0.3392,0.5635,0.421,2.8479,0.6062
adain,1600__chinese_landscape__137205.jpg,0.2818,0.6442,0.2851,2.9252,1.7814
adain,1600__chinese_landscape__142574.jpg,0.3438,0.5752,0.4115,2.807,0.7871
adain,1600__chinese_landscape__142578.jpg,0.3347,0.5654,0.3428,2.734,1.0075
adain,1600__chinese_landscape__144829.jpg,0.3289,0.5673,0.3692,2.698,0.9674
adain,1600__chinese_landscape__148342.jpg,0.324,0.5797,0.3133,2.8104,0.7766
adain,1600__mural__img_1082crop_1_0.jpg,0.2379,0.6338,0.1806,2.8065,3.925
adain,1600__mural__img_1224crop_0_0.jpg,0.1566,0.6822,0.1157,2.9946,5.563
adain,1600__mural__img_1224crop_1_1.jpg,0.148,0.6762,0.1116,2.9402,6.8375
adain,1600__mural__img_16crop_0_0.jpg,0.2502,0.6956,0.195,3.1743,1.9461
adain,1600__mural__img_276crop_1_0.jpg,0.159,0.7076,0.1208,3.0717,1.7991
adain,1600__mural__img_326crop_1_1.jpg,0.2615,0.6752,0.2155,2.9607,1.0751
adain,1600__mural__img_327crop_0_1.jpg,0.2797,0.6173,0.2453,2.7595,2.2498
adain,1600__mural__img_536crop_1_0.jpg,0.3053,0.6256,0.2483,2.6846,2.0551
adain,1600__mural__img_593crop_0_0.jpg,0.2513,0.6346,0.1772,2.8049,1.3288
adain,1600__mural__img_739crop_1_1.jpg,0.3401,0.5874,0.3063,2.7419,1.8823
adain,1600__western_painting__met_359775.jpg,0.3289,0.5917,0.3504,2.814,1.2997
adain,1600__western_painting__met_383787.jpg,0.3257,0.59,0.4389,2.8988,1.0571
adain,1600__western_painting__met_406721.jpg,0.2844,0.6398,0.2611,2.7685,1.0528
adain,1600__western_painting__met_437769.jpg,0.3871,0.5681,0.4197,2.6702,1.3763
adain,1600__western_painting__met_437967.jpg,0.4363,0.5425,0.3747,2.6501,1.5684
adain,1600__western_painting__met_439405.jpg,0.4655,0.4642,0.4857,2.4492,1.6254
adain,1600__western_painting__met_649693.jpg,0.294,0.5618,0.3557,2.7853,1.5106
adain,1600__western_painting__met_739494.jpg,0.3161,0.5645,0.3483,2.8682,1.9205
adain,1600__western_painting__met_787672.jpg,0.2716,0.5776,0.279,2.7499,1.7271
adain,1600__western_painting__met_788182.jpg,0.3005,0.5677,0.3464,2.8368,1.2561
adain,163__chinese_landscape__130942.jpg,0.5078,0.5823,0.3272,2.449,0.7017
adain,163__chinese_landscape__132834.jpg,0.5605,0.5944,0.418,2.3477,1.113
adain,163__chinese_landscape__132836.jpg,0.5643,0.5963,0.4241,2.3483,1.1365
adain,163__chinese_landscape__132840.jpg,0.6215,0.5502,0.5411,2.2655,1.1008
adain,163__chinese_landscape__132930.jpg,0.6092,0.6065,0.4854,2.4287,0.6095
adain,163__chinese_landscape__137205.jpg,0.4161,0.6558,0.2421,2.5443,1.6092
adain,163__chinese_landscape__142574.jpg,0.5997,0.6077,0.4603,2.3922,0.7335
adain,163__chinese_landscape__142578.jpg,0.4827,0.624,0.2702,2.4118,1.0523
adain,163__chinese_landscape__144829.jpg,0.5243,0.6066,0.3153,2.3287,1.0546
adain,163__chinese_landscape__148342.jpg,0.4311,0.6409,0.2174,2.4882,0.9317
adain,163__mural__img_1082crop_1_0.jpg,0.2174,0.6529,0.1041,2.4863,3.0521
adain,163__mural__img_1224crop_0_0.jpg,0.1118,0.6974,0.0536,2.7508,5.0693
adain,163__mural__img_1224crop_1_1.jpg,0.115,0.6958,0.0479,2.7225,6.2046
adain,163__mural__img_16crop_0_0.jpg,0.2479,0.705,0.1108,2.9741,1.9699
adain,163__mural__img_276crop_1_0.jpg,0.1385,0.824,0.0524,3.0266,1.7913
adain,163__mural__img_326crop_1_1.jpg,0.2808,0.6941,0.1131,2.8475,1.0362
adain,163__mural__img_327crop_0_1.jpg,0.3049,0.6259,0.1349,2.5085,1.8258
adain,163__mural__img_536crop_1_0.jpg,0.2914,0.6203,0.1238,2.5408,1.4979
adain,163__mural__img_593crop_0_0.jpg,0.2222,0.6203,0.1103,2.683,1.3597
adain,163__mural__img_739crop_1_1.jpg,0.19,0.643,0.1875,2.7036,1.6502
adain,163__western_painting__met_359775.jpg,0.4676,0.5824,0.2948,2.3256,1.3965
adain,163__western_painting__met_383787.jpg,0.6021,0.5416,0.5086,2.2935,0.9517
adain,163__western_painting__met_406721.jpg,0.3922,0.6245,0.1868,2.3761,1.1349
adain,163__western_painting__met_437769.jpg,0.2126,0.5832,0.385,2.5695,1.3507
adain,163__western_painting__met_437967.jpg,0.2946,0.643,0.2142,2.5527,1.4155
adain,163__western_painting__met_439405.jpg,0.3315,0.6465,0.3872,2.6015,1.6895
adain,163__western_painting__met_649693.jpg,0.4503,0.5847,0.3448,2.3218,1.5272
adain,163__western_painting__met_739494.jpg,0.4641,0.5783,0.29,2.4345,1.7907
adain,163__western_painting__met_787672.jpg,0.3947,0.5813,0.2216,2.2431,1.6994
adain,163__western_painting__met_788182.jpg,0.4866,0.5966,0.2904,2.3522,1.1472
adain,1670__chinese_landscape__130942.jpg,0.532,0.6301,0.327,2.9508,0.7296
adain,1670__chinese_landscape__132834.jpg,0.4419,0.6714,0.2192,2.9799,1.0771
adain,1670__chinese_landscape__132836.jpg,0.4411,0.6625,0.2287,2.9986,1.116
adain,1670__chinese_landscape__132840.jpg,0.5991,0.6282,0.4229,2.8709,1.2123
