method,output,ssim,lpips,e_ssim,l_c,l_s
saliency_routed_spatial_alpha,129__chinese_landscape__142574.png,0.7289,0.486,0.5545,1.7056,0.8292
saliency_routed_spatial_alpha,129__chinese_landscape__142578.png,0.6169,0.5388,0.3964,1.9414,1.0236
saliency_routed_spatial_alpha,129__chinese_landscape__144829.png,0.6574,0.5167,0.4642,1.7981,0.9951
saliency_routed_spatial_alpha,129__chinese_landscape__148342.png,0.5983,0.519,0.3637,1.8264,1.0321
saliency_routed_spatial_alpha,129__mural__img_1082crop_1_0.png,0.2818,0.6043,0.2102,2.4113,3.7138
saliency_routed_spatial_alpha,129__mural__img_1224crop_0_0.png,0.1686,0.6717,0.1374,2.5521,5.8406
saliency_routed_spatial_alpha,129__mural__img_1224crop_1_1.png,0.1958,0.6622,0.1398,2.5298,6.8967
saliency_routed_spatial_alpha,129__mural__img_16crop_0_0.png,0.4103,0.5394,0.2359,1.9315,1.5645
saliency_routed_spatial_alpha,129__mural__img_276crop_1_0.png,0.2998,0.6212,0.1857,2.1827,1.3064
saliency_routed_spatial_alpha,129__mural__img_326crop_1_1.png,0.4758,0.5642,0.2641,2.0036,1.3962
saliency_routed_spatial_alpha,129__mural__img_327crop_0_1.png,0.4177,0.5865,0.2632,2.284,2.7592
saliency_routed_spatial_alpha,129__mural__img_536crop_1_0.png,0.3855,0.5667,0.2756,2.221,2.2057
saliency_routed_spatial_alpha,129__mural__img_593crop_0_0.png,0.3383,0.5943,0.224,2.3325,1.5458
saliency_routed_spatial_alpha,129__mural__img_739crop_1_1.png,0.2588,0.6145,0.2753,2.2818,2.1287
saliency_routed_spatial_alpha,129__western_painting__met_359775.png,0.5713,0.5659,0.4196,2.1829,1.5275
saliency_routed_spatial_alpha,129__western_painting__met_383787.png,0.6658,0.5279,0.5429,2.1381,1.1538
saliency_routed_spatial_alpha,129__western_painting__met_406721.png,0.5807,0.5398,0.3748,1.8745,1.0487
saliency_routed_spatial_alpha,129__western_painting__met_437769.png,0.3206,0.5514,0.4692,1.9381,1.6813
saliency_routed_spatial_alpha,129__western_painting__met_437967.png,0.4356,0.5664,0.3276,1.9694,1.5877
saliency_routed_spatial_alpha,129__western_painting__met_439405.png,0.5373,0.4698,0.6288,1.7719,1.7311
saliency_routed_spatial_alpha,129__western_painting__met_649693.png,0.4919,0.587,0.3741,2.4548,1.9852
saliency_routed_spatial_alpha,129__western_painting__met_739494.png,0.5988,0.5261,0.4627,2.1416,2.0238
saliency_routed_spatial_alpha,129__western_painting__met_787672.png,0.51,0.5615,0.3535,2.3115,1.5434
saliency_routed_spatial_alpha,129__western_painting__met_788182.png,0.6151,0.5281,0.4373,2.0538,1.0986
saliency_routed_spatial_alpha,1337__chinese_landscape__130942.png,0.8171,0.294,0.8132,1.1125,0.9093
saliency_routed_spatial_alpha,1337__chinese_landscape__132834.png,0.7908,0.3244,0.7732,1.0869,0.7399
saliency_routed_spatial_alpha,1337__chinese_landscape__132836.png,0.7825,0.3555,0.7531,1.2487,0.8313
saliency_routed_spatial_alpha,1337__chinese_landscape__132840.png,0.7824,0.3067,0.7776,1.1397,0.8548
saliency_routed_spatial_alpha,1337__chinese_landscape__132930.png,0.7585,0.3645,0.7059,1.2651,0.5413
saliency_routed_spatial_alpha,1337__chinese_landscape__137205.png,0.7248,0.4185,0.6394,1.5308,1.3458
saliency_routed_spatial_alpha,1337__chinese_landscape__142574.png,0.7639,0.3723,0.7049,1.2701,0.6132
saliency_routed_spatial_alpha,1337__chinese_landscape__142578.png,0.7657,0.3815,0.6809,1.3518,0.8228
saliency_routed_spatial_alpha,1337__chinese_landscape__144829.png,0.7805,0.3607,0.7452,1.1867,0.6716
saliency_routed_spatial_alpha,1337__chinese_landscape__148342.png,0.7622,0.3651,0.6509,1.3166,0.7798
saliency_routed_spatial_alpha,1337__mural__img_1082crop_1_0.png,0.5413,0.4178,0.4123,1.3923,3.2421
saliency_routed_spatial_alpha,1337__mural__img_1224crop_0_0.png,0.346,0.5298,0.2882,1.9609,5.8605
saliency_routed_spatial_alpha,1337__mural__img_1224crop_1_1.png,0.378,0.5306,0.251,1.9355,7.1265
saliency_routed_spatial_alpha,1337__mural__img_16crop_0_0.png,0.5803,0.4438,0.4622,1.5411,1.3608
saliency_routed_spatial_alpha,1337__mural__img_276crop_1_0.png,0.4545,0.6413,0.3285,2.1793,1.3503
saliency_routed_spatial_alpha,1337__mural__img_326crop_1_1.png,0.6713,0.4389,0.5172,1.5214,1.1883
saliency_routed_spatial_alpha,1337__mural__img_327crop_0_1.png,0.6786,0.4162,0.5432,1.4181,2.7639
saliency_routed_spatial_alpha,1337__mural__img_536crop_1_0.png,0.6294,0.4157,0.5145,1.4577,2.1126
saliency_routed_spatial_alpha,1337__mural__img_593crop_0_0.png,0.6207,0.3773,0.4848,1.3376,1.2859
saliency_routed_spatial_alpha,1337__mural__img_739crop_1_1.png,0.441,0.4151,0.4976,1.6171,1.9311
saliency_routed_spatial_alpha,1337__western_painting__met_359775.png,0.7804,0.3147,0.7206,1.2298,1.4527
saliency_routed_spatial_alpha,1337__western_painting__met_383787.png,0.7577,0.3792,0.7468,1.4755,0.9786
saliency_routed_spatial_alpha,1337__western_painting__met_406721.png,0.7626,0.3851,0.692,1.1752,0.9102
saliency_routed_spatial_alpha,1337__western_painting__met_437769.png,0.4291,0.2964,0.7197,1.078,1.101
saliency_routed_spatial_alpha,1337__western_painting__met_437967.png,0.6257,0.3361,0.6482,1.1971,1.2418
saliency_routed_spatial_alpha,1337__western_painting__met_439405.png,0.6704,0.3233,0.7546,1.1564,1.3476
saliency_routed_spatial_alpha,1337__western_painting__met_649693.png,0.6331,0.451,0.5572,1.9381,1.8065
saliency_routed_spatial_alpha,1337__western_painting__met_739494.png,0.7689,0.3091,0.7303,1.2182,1.5961
saliency_routed_spatial_alpha,1337__western_painting__met_787672.png,0.6984,0.3573,0.628,1.3467,1.1678
saliency_routed_spatial_alpha,1337__western_painting__met_788182.png,0.7638,0.3297,0.7124,1.2155,1.0382
saliency_routed_spatial_alpha,1344__chinese_landscape__130942.png,0.6871,0.4438,0.5736,1.3026,1.0024
saliency_routed_spatial_alpha,1344__chinese_landscape__132834.png,0.6646,0.4719,0.5069,1.3916,0.8167
saliency_routed_spatial_alpha,1344__chinese_landscape__132836.png,0.6565,0.479,0.4997,1.4537,0.7755
saliency_routed_spatial_alpha,1344__chinese_landscape__132840.png,0.716,0.4407,0.598,1.3552,0.7411
saliency_routed_spatial_alpha,1344__chinese_landscape__132930.png,0.72,0.4495,0.5484,1.2852,0.5692
saliency_routed_spatial_alpha,1344__chinese_landscape__137205.png,0.5591,0.5464,0.3966,1.6624,1.0932
saliency_routed_spatial_alpha,1344__chinese_landscape__142574.png,0.6989,0.482,0.5165,1.3373,0.6126
saliency_routed_spatial_alpha,1344__chinese_landscape__142578.png,0.6057,0.5015,0.3969,1.4165,0.8938
saliency_routed_spatial_alpha,1344__chinese_landscape__144829.png,0.635,0.5113,0.4521,1.3897,0.8175
saliency_routed_spatial_alpha,1344__chinese_landscape__148342.png,0.5849,0.4966,0.3664,1.4193,1.0322
saliency_routed_spatial_alpha,1344__mural__img_1082crop_1_0.png,0.3652,0.5563,0.3082,1.7486,3.1846
saliency_routed_spatial_alpha,1344__mural__img_1224crop_0_0.png,0.2316,0.6413,0.2118,2.2307,5.4651
saliency_routed_spatial_alpha,1344__mural__img_1224crop_1_1.png,0.2658,0.6455,0.2146,2.2471,6.727
saliency_routed_spatial_alpha,1344__mural__img_16crop_0_0.png,0.4194,0.5511,0.2827,1.6294,1.5737
saliency_routed_spatial_alpha,1344__mural__img_276crop_1_0.png,0.3401,0.6423,0.2421,2.0215,1.4276
saliency_routed_spatial_alpha,1344__mural__img_326crop_1_1.png,0.4876,0.5817,0.3079,1.671,1.3952
saliency_routed_spatial_alpha,1344__mural__img_327crop_0_1.png,0.4768,0.578,0.3474,1.8133,2.539
saliency_routed_spatial_alpha,1344__mural__img_536crop_1_0.png,0.4432,0.5695,0.3493,1.7579,2.0922
saliency_routed_spatial_alpha,1344__mural__img_593crop_0_0.png,0.4003,0.5462,0.3134,1.7826,1.6171
saliency_routed_spatial_alpha,1344__mural__img_739crop_1_1.png,0.3097,0.5331,0.3031,1.834,2.0469
saliency_routed_spatial_alpha,1344__western_painting__met_359775.png,0.613,0.5004,0.4728,1.554,1.523
saliency_routed_spatial_alpha,1344__western_painting__met_383787.png,0.7034,0.4961,0.573,1.525,1.0064
saliency_routed_spatial_alpha,1344__western_painting__met_406721.png,0.5978,0.5393,0.4075,1.4046,0.9152
saliency_routed_spatial_alpha,1344__western_painting__met_437769.png,0.3374,0.4905,0.4777,1.361,1.2981
saliency_routed_spatial_alpha,1344__western_painting__met_437967.png,0.4552,0.512,0.369,1.485,1.3451
saliency_routed_spatial_alpha,1344__western_painting__met_439405.png,0.5565,0.4522,0.5691,1.3288,1.7565
saliency_routed_spatial_alpha,1344__western_painting__met_649693.png,0.5836,0.5195,0.4595,1.9031,1.6625
saliency_routed_spatial_alpha,1344__western_painting__met_739494.png,0.6339,0.4545,0.4999,1.4738,1.6878
saliency_routed_spatial_alpha,1344__western_painting__met_787672.png,0.5529,0.483,0.4208,1.6008,1.1404
saliency_routed_spatial_alpha,1344__western_painting__met_788182.png,0.6311,0.4693,0.46,1.3868,1.1252
saliency_routed_spatial_alpha,1535__chinese_landscape__130942.png,0.6468,0.5447,0.5309,1.526,1.0891
saliency_routed_spatial_alpha,1535__chinese_landscape__132834.png,0.6,0.5902,0.4372,1.6622,1.0069
saliency_routed_spatial_alpha,1535__chinese_landscape__132836.png,0.5902,0.6066,0.4323,1.7754,0.9799
saliency_routed_spatial_alpha,1535__chinese_landscape__132840.png,0.6219,0.575,0.4909,1.7144,0.8541
saliency_routed_spatial_alpha,1535__chinese_landscape__132930.png,0.6308,0.6078,0.4478,1.6404,0.6018
saliency_routed_spatial_alpha,1535__chinese_landscape__137205.png,0.5274,0.6463,0.3692,1.9433,1.3695
saliency_routed_spatial_alpha,1535__chinese_landscape__142574.png,0.6284,0.6327,0.4348,1.7,0.727
saliency_routed_spatial_alpha,1535__chinese_landscape__142578.png,0.5773,0.628,0.3664,1.7719,1.0872
saliency_routed_spatial_alpha,1535__chinese_landscape__144829.png,0.6024,0.6193,0.4096,1.6324,0.901
saliency_routed_spatial_alpha,1535__chinese_landscape__148342.png,0.5559,0.6307,0.3407,1.7601,1.1558
saliency_routed_spatial_alpha,1535__mural__img_1082crop_1_0.png,0.4015,0.6303,0.3307,2.0511,3.2089
saliency_routed_spatial_alpha,1535__mural__img_1224crop_0_0.png,0.2637,0.6939,0.2329,2.3539,5.8417
saliency_routed_spatial_alpha,1535__mural__img_1224crop_1_1.png,0.2763,0.7104,0.2258,2.4284,7.3065
saliency_routed_spatial_alpha,1535__mural__img_16crop_0_0.png,0.4664,0.5737,0.2746,1.8537,1.7501
